Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Sayur-Sayuran Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,,,,,,,,,,,,
,SAYUR-SAYURAN,Bayam,Kangkung,Kol/kubis,Sawi putih (petsai),Sawi hijau,Buncis,Kacang panjang,"Tomat sayur, tomat ceri",Wortel,Mentimun,Daun ketela pohon/daun singkong,Terong,Tauge,"Labu, labu siam, labu parang",Bahan sayur sop/cap cay/ kimlo (paket),Bahan sayur asam/lodeh (paket),Nangka muda,Pepaya muda,Jengkol,Bawang putih,Bawang merah,Bawang bombay,Cabe merah,Cabe hijau,Cabe rawit,Sayur-sayuran lainnya
Kota Tebing Tinggi,17628,835,616,297,258,264,125,305,1355,369,308,340,516,116,210,66,21,95,51,336,2411,1238,87,4640,822,1738,208
Kota Medan,18265,778,549,324,460,420,249,298,1826,454,296,318,502,250,184,289,224,40,38,171,2220,1445,174,4553,826,1141,237
Kota Binjai,20530,798,851,233,447,449,168,391,1545,557,224,375,610,278,136,149,85,35,49,134,2686,1804,103,5074,815,2287,248
Kota Padangsidimpuan,16543,586,568,206,254,293,217,349,612,373,136,677,466,170,296,92,22,14,24,124,2507,953,19,5704,288,702,891
Kota Gunungsitoli,11151,452,609,241,128,104,127,234,121,255,161,541,472,78,25,10,11,110,117,9,1787,978,8,2344,153,1907,168
Kepulauan Mentawai,16329,361,884,313,46,62,63,267,414,237,658,881,566,23,53,-,-,56,51,18,3321,960,19,5306,194,1304,271
Pesisir Selatan,21168,410,560,292,58,69,112,272,571,295,304,184,688,232,49,5,-,21,3,534,2971,762,10,11533,701,476,56
Solok,21085,448,361,283,85,48,285,59,1122,376,294,261,479,288,139,27,-,8,8,1337,2344,536,32,10746,1135,181,203
Sijunjung,21635,243,362,407,107,55,189,145,664,363,356,445,488,340,110,-,19,106,13,2594,2385,713,17,7892,240,2534,848
Tanah Datar,18331,433,500,263,170,55,197,76,648,379,238,301,332,279,129,18,0,81,16,833,2220,592,12,9217,314,615,412
Padang Pariaman,18055,462,551,228,57,35,147,177,875,318,251,259,528,274,91,20,4,109,7,301,2413,1030,14,7978,468,1124,334
Agam,17737,477,415,234,168,149,235,89,458,255,204,307,521,201,130,30,2,133,15,243,2516,857,1,8743,561,573,220
Lima Puluh Kota,20821,432,510,328,218,118,248,159,321,271,269,427,733,343,161,8,-,250,3,580,2479,785,22,10637,283,1051,185
Pasaman,17726,410,366,261,94,123,173,322,381,210,317,543,823,140,177,6,-,83,40,590,1827,536,8,7629,280,2033,354
Solok Selatan,22891,366,351,321,56,92,317,228,1237,274,327,447,688,152,114,3,-,91,22,1381,2648,651,18,10784,1068,803,448
Dharmasraya,20938,301,460,456,195,80,199,352,649,427,288,507,676,264,191,8,8,28,96,1699,2671,836,49,7053,1159,1788,501
Pasaman Barat,19057,430,478,365,77,67,140,441,186,288,322,443,1192,225,214,14,25,54,42,602,2266,508,5,6013,354,4111,198
Kota Padang,21574,634,892,203,216,105,313,166,896,551,335,218,513,468,146,9,11,25,9,744,2364,793,89,10211,866,445,350
Kota Solok,19306,500,569,120,135,162,159,90,1470,334,392,186,427,295,166,9,0,19,8,1330,2101,674,23,8856,715,306,260
