Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Sayur-Sayuran Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,,,,,,,,,,,,
,SAYUR-SAYURAN,Bayam,Kangkung,Kol/kubis,Sawi putih (petsai),Sawi hijau,Buncis,Kacang panjang,"Tomat sayur, tomat ceri",Wortel,Mentimun,Daun ketela pohon/daun singkong,Terong,Tauge,"Labu, labu siam, labu parang",Bahan sayur sop/cap cay/ kimlo (paket),Bahan sayur asam/lodeh (paket),Nangka muda,Pepaya muda,Jengkol,Bawang putih,Bawang merah,Bawang bombay,Cabe merah,Cabe hijau,Cabe rawit,Sayur-sayuran lainnya
Bolaang Mongondow Timur,12663,264,1222,188,234,54,111,218,1325,171,50,258,538,142,217,78,4,48,20,-,2466,996,40,15,28,3105,869
Kota Manado,14731,220,1351,258,504,188,138,129,609,614,185,246,544,186,166,648,40,38,30,2,2984,1942,15,352,31,2925,386
Kota Bitung,13800,184,1308,356,389,64,105,207,491,259,315,258,469,207,264,461,81,51,30,-,2622,1681,25,270,5,3091,607
Kota Tomohon,15396,188,1161,223,680,195,245,172,507,580,191,167,474,250,304,444,13,44,47,-,2335,1665,24,208,12,3065,2203
Kota Kotamobagu,12362,435,932,141,158,36,78,349,1315,248,54,96,594,176,226,94,12,30,1,15,2037,817,5,87,10,2650,1766
Banggai Kepulauan,9432,296,760,107,18,22,39,390,420,161,319,443,521,42,108,46,-,26,320,-,2091,1142,0,263,6,1625,267
Banggai,12394,480,820,163,144,125,109,422,671,275,211,332,721,258,264,419,85,168,328,8,2126,1306,53,537,20,1634,714
Morowali,16887,905,1377,344,140,120,138,642,993,282,429,557,639,150,321,264,249,140,167,39,3223,1662,23,767,3,3168,145
Poso,13934,561,844,265,119,309,236,304,1444,286,139,826,606,119,428,119,49,100,80,29,2454,1908,0,129,30,2255,296
Donggala,9819,426,593,205,58,91,71,363,525,168,272,244,551,44,367,81,9,211,155,2,1534,699,12,566,126,1512,933
Toli-Toli,8417,501,595,100,45,117,34,198,526,76,122,179,340,52,217,283,99,97,141,3,1624,843,-,462,28,1340,394
Buol,9203,583,937,135,49,112,43,334,183,113,178,144,415,59,190,191,30,68,122,9,1941,1035,15,74,10,2097,135
Parigi Moutong,9926,507,761,268,72,147,123,279,558,208,135,221,475,82,204,116,92,184,149,20,1531,1010,11,463,6,1904,400
Tojo Una-Una,9856,558,799,155,25,148,121,421,1602,79,127,382,461,45,95,71,41,17,97,24,1722,816,2,117,57,1656,219
Sigi,13476,589,1049,195,99,306,181,457,476,112,204,541,593,69,558,291,62,318,124,15,1886,1164,17,677,256,2397,838
Banggai Laut,12570,815,966,92,41,48,14,540,690,77,605,319,761,51,92,14,2,42,467,-,2590,1745,1,748,16,1769,66
Morowali Utara,15182,744,1266,322,138,297,161,759,862,291,285,836,738,73,425,117,37,93,181,94,2521,1971,67,414,42,2120,328
Kota Palu,11940,686,813,243,116,264,153,266,295,408,202,97,347,166,349,268,51,101,31,-,2010,1462,68,957,55,2033,498
Kepulauan Selayar,9072,364,479,346,16,37,3,229,332,212,411,95,812,99,298,34,-,128,159,0,1309,817,5,658,1,672,1556
Bulukumba,8287,365,608,293,91,107,117,304,368,323,162,290,419,56,428,195,36,170,164,226,976,726,3,404,34,686,737
Bantaeng,10075,398,665,504,189,119,597,241,529,254,122,772,436,57,298,124,9,173,71,16,901,750,10,205,31,811,1793
Jeneponto,7417,388,637,317,167,121,221,326,533,189,57,191,499,64,201,189,57,66,32,-,768,679,-,131,48,563,973
Takalar,6980,386,670,219,73,152,12,461,295,167,264,166,368,120,376,293,18,62,27,-,786,670,-,136,3,619,637
Gowa,9508,405,824,424,209,287,194,534,395,323,240,449,358,139,465,212,22,149,76,8,1121,946,29,395,15,699,588
Sinjai,8669,245,531,201,90,71,292,408,328,305,158,304,380,13,727,152,1,137,101,5,988,790,2,852,37,663,887
Maros,7990,525,606,274,170,210,68,475,468,237,178,77,265,115,450,402,21,101,67,11,1033,806,6,210,7,687,522
Pangkajene dan Kepulauan,8537,531,660,356,127,163,41,491,687,314,182,47,396,77,305,460,75,60,103,1,1079,735,7,245,22,764,610
Barru,7982,772,422,253,47,65,39,510,473,166,117,52,341,27,502,166,16,49,166,-,1221,762,8,270,31,934,573
Bone,5870,440,356,170,40,59,11,238,389,143,102,36,342,13,319,162,12,47,78,8,895,615,7,308,11,576,494
Soppeng,8073,407,298,243,8,42,56,268,617,215,122,25,440,22,465,33,-,82,124,-,1122,666,22,494,43,842,1416
Wajo,7939,399,407,135,19,18,21,250,601,112,174,49,473,17,475,401,80,21,36,-,1150,591,14,874,7,871,741
Sidenreng Rappang,9911,378,665,114,22,48,27,339,1282,177,74,89,424,16,445,450,523,31,74,-,1520,759,39,852,17,1153,393
Pinrang,7689,392,598,308,24,97,38,291,452,147,121,248,337,17,328,264,195,21,87,4,1046,664,19,471,33,736,753
Enrekang,9318,736,622,264,44,174,131,279,1153,397,69,222,319,17,454,158,37,28,48,-,1001,764,71,233,14,740,1341
Luwu,8921,633,694,239,23,61,17,276,692,222,72,396,714,47,361,44,5,21,108,-,1301,913,19,92,40,1392,540
Tana Toraja,11022,377,938,79,119,367,139,532,1218,206,105,1516,220,24,536,6,-,36,238,-,1160,950,10,179,24,1253,791
Luwu Utara,10207,640,709,437,57,129,37,387,895,115,166,607,816,73,352,65,9,70,162,94,1274,917,-,61,16,1715,402
Luwu Timur,10277,556,776,384,67,146,148,376,886,215,113,376,518,94,264,76,14,51,125,82,1564,1140,59,133,32,1638,442
Toraja Utara,10788,265,648,54,130,525,98,227,980,277,61,1369,181,94,853,15,3,33,257,-,946,711,11,139,108,1940,862
Kota Makasar,13406,812,1133,373,311,540,187,481,677,736,264,122,408,273,617,567,172,144,19,18,1409,1199,79,639,30,1736,459
Kota Parepare,8305,304,544,121,144,136,77,220,1022,310,124,82,239,78,324,479,281,27,40,3,970,673,37,619,18,956,477
Kota Palopo,9393,524,622,314,105,184,100,316,1374,264,136,326,542,186,384,109,82,66,32,-,959,805,21,131,8,1354,448
Buton,10180,522,748,255,41,89,163,342,1595,55,91,227,651,41,429,6,2,103,300,2,1704,962,4,115,23,864,847
Muna,5778,351,417,51,1,8,5,227,392,37,49,40,412,13,427,30,32,11,193,-,799,445,4,89,3,359,1383
Konawe,9295,728,785,285,48,208,64,627,567,181,157,494,762,95,152,141,32,55,294,22,1307,914,1,24,9,970,370
Kolaka,11281,831,831,326,28,296,44,531,825,174,282,407,624,149,350,167,31,155,301,51,1656,1143,-,416,8,1405,248
Konawe Selatan,10067,703,759,245,51,326,88,774,434,205,223,567,930,154,254,17,8,116,333,15,1378,788,-,206,24,1024,441
Bombana,7530,462,537,283,23,85,22,258,433,233,145,205,785,36,322,25,40,59,175,35,1140,756,16,285,14,795,360
Wakatobi,10448,421,969,241,32,107,24,298,620,135,857,281,547,54,208,54,7,13,374,-,1477,1073,14,188,9,472,1973
Kolaka Utara,7789,586,530,385,14,30,33,377,237,107,183,175,608,14,427,1,1,30,230,18,932,609,0,159,43,995,1066
Buton Utara,7583,534,547,55,7,9,29,360,590,26,189,220,776,18,422,72,33,34,203,4,1149,786,4,143,10,523,840
Konawe Utara,10342,804,921,290,36,96,30,613,459,239,181,669,687,99,240,1,4,116,328,66,1605,988,6,138,2,1158,564
Kolaka Timur,9698,567,683,306,26,114,29,478,234,168,153,525,683,56,220,-,-,57,396,71,1762,1016,7,123,24,1108,894
Konawe Kepulauan,8239,630,701,265,11,41,15,509,105,103,175,378,782,17,204,16,3,132,627,12,1119,549,1,71,15,775,984
Muna Barat,7658,516,679,133,10,17,15,347,377,33,166,173,516,69,434,9,2,84,244,-,968,858,-,115,16,693,1184
Buton Tengah,6202,228,560,116,3,53,50,180,605,56,135,22,475,32,491,236,32,16,252,-,1045,509,3,73,15,300,715
Buton Selatan,8768,587,947,110,24,113,303,323,672,45,102,167,682,5,146,87,-,53,712,2,1335,777,7,55,14,341,1159
Kota Kendari,12569,960,1027,306,144,329,165,618,403,618,361,294,640,284,471,96,45,120,335,60,1375,1065,80,340,54,1301,1075
Kota Baubau,7938,465,754,133,65,129,78,159,404,275,167,42,506,55,371,221,32,49,257,16,985,659,17,136,13,661,1288
Boalemo,11872,190,1077,123,75,70,9,463,1806,88,122,138,829,43,29,315,19,19,234,-,2051,1205,12,117,16,2666,154
Gorontalo,10417,171,994,119,45,72,1,279,1636,112,172,42,883,72,53,220,24,14,44,-,1827,874,25,15,9,2611,104
Pohuwato,9733,181,986,221,45,27,10,163,1418,118,101,67,743,20,57,213,29,6,109,-,1904,744,-,50,-,2373,148
Bone Bolango,11466,295,1018,85,41,37,3,326,2125,153,157,24,631,46,18,277,52,6,45,-,2102,1004,6,156,6,2775,78
Gorontalo Utara,10700,150,1036,93,29,42,-,227,2097,29,112,110,625,7,26,177,16,13,144,-,2015,813,-,26,-,2446,467
Kota Gorontalo,13035,215,1257,62,79,125,22,226,2074,215,211,13,713,63,36,460,17,4,44,-,2486,1209,15,345,6,2985,154
Majene,8102,501,291,139,167,83,13,119,857,237,92,11,229,24,305,379,103,16,38,-,1463,692,15,1378,8,572,370
Polewali Mandar,7928,364,426,138,19,71,39,230,411,107,57,193,321,34,198,254,201,73,134,-,1395,692,18,1306,0,918,327
Mamasa,7189,295,383,118,144,168,42,232,333,67,75,1655,100,19,678,27,-,19,64,-,834,733,5,105,2,621,469
Mamuju,9206,576,636,242,46,181,25,306,305,247,218,382,328,61,261,171,177,96,170,21,1512,848,22,982,17,1059,318
Mamuju Utara,11720,613,726,384,59,171,141,365,889,211,194,264,479,83,232,216,60,127,161,19,1899,1040,1,1046,42,1849,450
Mamuju Tengah,10857,702,691,264,52,197,45,401,348,250,162,286,468,44,225,126,6,61,159,52,2065,1301,6,920,21,1549,455
Maluku Tenggara Barat,13164,442,1284,39,63,301,53,272,327,70,729,1138,945,33,90,174,18,24,785,-,1915,1853,31,424,47,1335,773
Maluku Tenggara,14169,592,753,70,27,171,56,338,538,101,633,1865,497,81,238,325,0,76,692,-,1657,1514,9,198,28,1800,1909
Maluku Tengah,14795,755,1348,125,147,356,182,421,446,126,297,854,893,106,312,245,34,127,528,4,2300,2112,16,751,54,1256,1002
Buru,14228,650,1491,90,61,284,453,412,977,127,177,527,722,75,104,324,12,124,187,93,2482,1837,20,900,44,1722,333
Kepulauan Aru,12976,1050,1948,29,51,280,41,496,263,52,172,1051,266,9,199,144,8,25,392,-,2095,1840,21,235,96,1326,887
Seram Bagian Barat,11563,445,1408,35,76,233,108,329,473,31,215,1032,645,34,371,118,3,20,328,4,1770,1560,26,559,19,755,966
Seram Bagian Timur,11231,745,1144,71,52,114,135,320,338,101,200,394,796,7,77,4,-,56,602,-,1853,1614,2,457,20,1749,380
Maluku Barat Daya,17725,1050,1982,74,162,424,150,401,227,202,536,2517,628,122,201,143,7,109,826,35,1772,1799,18,480,123,1013,2723
Buru Selatan,10423,476,945,35,13,134,61,342,336,81,126,1435,594,18,111,35,11,100,192,-,1651,1383,13,631,27,876,798
Kota Ambon,15955,667,1432,189,320,735,293,465,805,487,258,706,503,211,446,413,52,47,267,-,2047,1797,86,966,28,1517,1217
Kota Tual,13739,963,1168,84,74,247,104,206,620,135,588,874,856,83,295,375,28,65,591,7,1562,1436,57,142,74,1958,1146
Halmahera Barat,14445,279,1235,137,25,68,32,147,565,135,221,1387,570,21,32,61,-,80,383,-,2433,2307,6,1315,95,2057,854
Halmahera Tengah,17098,967,1538,166,96,360,99,439,1511,199,604,626,1193,83,96,233,6,194,312,-,2291,1906,8,1330,155,2222,466
Kepulauan Sula,12061,522,1474,64,69,115,42,432,1438,34,185,521,880,-,39,49,25,85,125,-,1984,1669,2,1100,6,1050,152
Halmahera Selatan,14954,254,1219,30,40,128,46,244,1685,60,189,543,1106,13,141,38,13,65,312,-,2644,2056,5,1292,33,2014,786
Halmahera Utara,15936,375,1636,211,55,144,68,383,847,156,246,803,779,54,124,106,-,106,309,-,2942,2437,7,1671,163,1836,480
Halmahera Timur,17020,458,1742,162,96,234,343,350,1476,194,293,694,836,27,110,127,22,268,532,7,2931,2427,4,1186,97,2104,299
Pulau Morotai,17554,288,2051,166,14,92,90,425,1579,95,91,887,894,44,99,66,74,94,261,-,3000,3013,8,2365,176,1284,401
Pulau Taliabu,11080,580,1464,82,11,80,1,581,793,43,105,737,862,3,23,4,23,100,218,-,2034,1418,-,268,7,1261,384
Kota Ternate,20368,933,2108,130,228,392,204,522,2388,507,591,336,669,310,542,598,124,182,69,-,2788,1936,8,1769,47,2373,619
Kota Tidore Kepulauan,16212,574,1553,125,145,220,33,502,2605,178,366,276,727,71,257,79,19,58,132,-,2660,1892,3,993,27,1910,808
Fakfak,20522,1649,2943,130,188,776,301,654,326,472,393,1239,930,109,657,364,52,193,356,57,2459,2364,25,537,70,2513,763
Kaimana,18530,873,2349,199,122,437,139,469,656,142,346,660,723,16,190,543,74,209,301,0,2778,2498,44,508,65,2696,1493
Teluk Wondama,17049,1289,2358,128,67,421,111,403,535,88,22,1604,393,22,106,309,30,13,615,-,2222,2169,9,474,15,1818,1831
Teluk Bintuni,19855,1254,2453,107,229,360,80,606,799,291,119,1067,494,108,170,583,29,40,366,9,3379,3179,30,525,189,2477,912
Manokwari,20114,1247,1810,204,318,618,202,737,514,259,242,709,653,199,339,756,67,253,361,164,3710,3194,3,371,40,2510,632
Manokwari Selatan,27249,3372,3031,102,118,1507,930,790,290,200,217,1145,158,113,1789,-,6,245,1193,-,3370,2636,32,52,108,3031,2813
Pegunungan Arfak,16034,1710,1642,37,220,772,33,428,543,75,28,1498,110,3,483,12,-,202,598,-,2174,2150,1,3,6,1739,1566
Raja Ampat,15136,669,2203,184,69,332,85,396,181,139,236,985,711,30,103,262,24,117,467,-,2325,2140,8,457,62,2023,926
Sorong,18548,498,443,2477,2422,432,546,129,302,1313,87,507,65,66,2100,60,28,-,60,-,2463,2074,-,444,74,1323,634
Sorong Selatan,22267,1638,1996,346,413,938,548,815,861,754,190,1108,927,81,496,985,67,216,329,-,3492,2483,8,185,7,2523,860
Maybrat,18026,1966,3014,24,24,537,34,719,297,64,39,1251,84,3,147,127,50,57,208,-,1625,1480,7,59,9,1757,4443
Tambrauw,17851,1009,2097,121,82,587,197,576,625,220,185,844,575,74,147,446,78,78,199,-,2787,2444,-,346,29,2780,1326
Kota Sorong,19307,1008,1806,142,165,979,238,622,1522,536,364,487,748,171,469,806,58,53,218,-,2613,2604,60,793,21,2423,402
Jayapura,15183,991,1860,138,185,492,138,300,578,136,148,919,246,94,292,454,139,71,283,-,2126,2164,43,439,71,1827,1050
Kepulauan Yapen,19411,1471,1382,266,132,467,138,474,672,242,208,943,652,123,523,1110,152,131,238,79,2904,2439,1,546,36,2904,1179
Biak Numfor,18109,1748,2957,65,152,314,42,884,237,34,83,1678,912,49,434,339,-,285,440,-,2610,2728,-,171,45,1726,175
Sarmi,32419,2968,458,1535,2969,175,1885,219,1249,3251,221,1471,932,31,2399,153,3,3,-,-,2417,3103,52,471,28,5735,689
Keerom,20885,1152,1947,227,155,746,227,714,994,325,268,924,605,100,311,1275,245,175,354,24,3369,3061,2,326,171,2738,448
Waropen,32338,2567,189,1771,2895,534,2078,132,1260,2659,82,1509,520,48,1550,36,-,2,0,-,2558,2814,22,1334,36,7387,356
Supiori,47446,3993,650,2570,4104,718,2367,221,3239,4389,168,1717,580,32,3171,26,-,-,-,-,3914,4231,72,826,40,9290,1127
Mamberamo Raya,44009,-,2572,2574,3447,-,2662,-,-,3431,-,526,-,-,3430,-,-,-,-,-,6874,6754,-,-,1418,10322,-
Kota Jayapura,34327,2627,1201,2485,2076,1065,2192,1539,891,528,172,3457,430,20,4665,14,-,1,455,-,2673,1220,-,64,6,1528,5019
Merauke,23464,1603,2443,224,297,746,322,822,646,215,154,1291,541,284,675,1091,109,208,483,-,3233,2781,222,897,125,3067,982
Boven Digoel,18177,1113,1706,357,55,801,285,886,357,389,437,968,818,415,525,245,7,100,332,130,2521,2001,45,387,131,2187,978
Mappi,17253,1361,2093,194,109,733,110,770,898,252,239,1261,343,72,254,251,16,261,726,-,2101,1993,82,442,81,1524,1085
Asmat,13805,623,1877,147,60,484,19,505,239,87,123,2097,240,26,223,5,-,596,676,-,1664,1922,47,94,156,1425,469
Mimika,16923,1055,1899,105,233,677,236,418,554,413,148,270,416,179,605,1074,125,66,160,-,2751,2485,93,473,96,2037,355
Dogiyai,55758,3105,35,7642,4895,3464,59,76,7605,267,2246,731,6,51,2527,-,-,-,-,-,5257,4927,41,2,187,5453,7181
Deiyai,29163,2103,873,2305,2422,1833,1112,291,491,836,1277,2035,611,38,4364,-,-,6,118,-,1627,1255,-,72,86,844,4565
Nabire,15595,1795,2503,35,112,873,150,659,244,359,145,864,418,177,268,414,24,9,46,10,1956,1892,26,471,48,1645,450
Paniai,16585,1310,2335,92,330,169,141,727,173,103,265,1910,154,57,92,228,8,458,1077,3,1867,1828,15,760,27,1783,674
Intan Jaya,57450,1542,1216,3244,666,403,3504,4605,541,99,289,1571,203,76,4161,21,-,-,-,-,10039,8992,17,-,3,7970,8291
Puncak,28665,2162,1188,3044,2000,1802,812,258,756,1367,736,2192,421,28,1736,4,-,213,-,2,1553,1357,21,140,40,2437,4396
Puncak Jaya,14084,588,3869,36,-,41,-,870,109,4,96,2183,155,-,13,-,-,216,323,-,1671,1619,-,862,146,416,870
Nduga,81168,5644,3859,2615,4405,1899,1817,2137,1575,2610,1118,3282,721,213,6362,168,-,217,1128,77,10486,7713,3,126,301,10161,12531
Jayawijaya,18746,1691,2414,87,221,525,150,646,252,164,337,954,779,121,362,351,71,163,193,-,3365,2788,52,695,104,1544,718
Lanny Jaya,31895,2310,846,1838,575,2263,960,585,1278,325,605,1903,20,31,2571,71,-,-,19,-,3898,3025,54,53,50,3851,4763
Tolikara,20040,1100,678,2291,1247,1437,613,650,767,1143,276,382,57,36,1675,2,1,44,9,-,2567,2485,-,59,-,1308,1211
Mamberamo Tengah,39735,2986,1425,2896,2481,1947,988,463,2383,1241,952,667,414,436,3233,240,30,0,-,-,5502,4597,72,625,40,3354,2764
Yalimo,63021,4042,97,6735,4800,4589,2109,207,3259,934,1419,133,-,24,4751,-,-,-,-,32,9260,6301,-,-,101,6909,7319
Yahukimo,14813,1506,3710,165,84,456,53,798,495,76,115,2311,189,4,316,7,4,66,121,-,1319,1364,38,362,11,767,473
Pegunungan Bintang,22438,1283,1896,467,182,1015,443,529,1189,725,322,1048,426,169,469,549,203,187,101,13,3293,3060,28,1145,78,3510,108
