Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Sayur-Sayuran Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,,,,,,,,,,,,
Kota Palembang,12387.78,560.51,586.49,266.1,358.92,264.71,143.23,272.85,353.8,430.87,387.88,97.13,312.73,232.87,187.09,740.04,529.32,34.23,21.97,174.97,1717.07,1142.8,88.06,2199.16,159.29,834.64,291.07
Kota Prabumulih,10452.59,534.29,524.77,229.89,160.82,140.82,87.83,187.75,338.33,370.18,228.79,257.23,250.83,199.99,113.18,384.09,311.48,55.01,82.95,137.01,1515.71,1120.5,56.64,1816.89,113.98,1091.81,141.78
Kota Pagar Alam,10482.43,208.77,306.42,374.06,225.09,156.88,393.46,154.08,420.24,208.91,93.98,268.89,393.02,270.87,231.72,109.96,20.95,70.46,56.98,47.39,1040.71,1258.31,15.64,2597.03,198.86,810.4,549.35
Kota Lubuklinggau,12560.87,468.53,457.4,374.15,334.49,214.22,230.45,337.22,530.46,373.96,224.07,351.94,530.65,220.39,248.42,182.72,163.5,175.12,124.56,391.97,1595.71,1129.42,25.05,2245.79,118.31,1246.15,266.24
Bengkulu Selatan,12632.05,289.79,467.81,244.24,175.72,98.73,79.05,462.12,354.56,147.56,235.72,287.04,662.47,69.28,70.15,121.6,19.88,523.07,119.15,880.13,1470.31,981.4,-,3598.07,72.98,742.49,458.73
Rejang Lebong,17493.64,314.38,509.6,414.01,309.7,277.54,540.52,272.57,465.96,216.53,169.6,378.75,857.22,303.36,297.87,61.8,70.24,189.98,71.68,918.09,2067.01,1468.44,30.64,4528.92,318.74,1895.11,545.39
Bengkulu Utara,18110.74,602.7,715.69,316.53,271.81,211.45,225.39,698.09,375.01,265.54,315.03,499.8,1159.32,148.59,166.03,404.11,43.68,278.16,213.21,1211.51,2483.6,1640.44,14.35,3403.13,157.11,1987.93,302.52
Kaur,14150.38,328.58,579.09,424.34,241.97,89.01,131.27,630.5,542.3,154.93,289.62,464.18,834.71,53.45,98.61,98.96,34.73,321,169.91,930.55,1652.87,880.19,62.33,3681.05,39.09,1004.68,412.47
Seluma,16262.53,543.64,709.4,359.29,318.51,148.46,194.04,661.1,408.36,206.1,302.44,490.77,1169.59,107.91,130.86,303.32,31.88,540.44,201.77,453.31,1792.54,1134.65,-,4246.5,61.75,1086.13,659.74
Mukomuko,19453.33,684.77,935.2,393.76,122.31,151.88,268.32,726.47,337.72,349,338.13,413.24,1479.55,179.74,163.25,119.21,56.45,253.86,217.2,896.58,2626.04,1187.11,87.26,5148.43,227.05,1762.31,328.53
Lebong,17986.94,339.62,562.97,490.92,201.4,228.48,421.83,415.1,514.57,313.41,351.24,336.94,1095.03,193.68,128.17,12.66,-,142.66,96.89,865.27,2035.11,1286.91,2.02,5825.39,274.45,1229.25,622.95
Kepahiang,16347.77,349.31,523.16,426.64,253.58,282.84,595.51,301,643.63,233.22,298.79,422.9,992.61,268.97,257.04,66.6,0.89,158.25,117.35,829.46,1717.92,1287,9.14,2870.72,145.96,2501.58,793.68
Bengkulu Tengah,17900.4,620.65,813.11,427.83,284.55,251.65,275.93,499.77,348.76,257.08,305.03,418.59,1094.89,64.88,86.35,189.63,33.11,377.9,228.43,917.4,1959.38,1325.38,3.48,4896.15,182.06,1456.97,581.46
Kota Bengkulu,16058.3,673.1,823.13,333.74,394.81,216.98,215.21,389,405.68,300.15,367.59,227.67,659.79,212.17,118.87,273.97,103.94,143.22,55.48,624.14,2178.6,1314.3,41.17,4434.41,125.21,918.59,507.37
Lampung Barat,14822.69,480.94,612.18,446.36,147.9,195.18,395.36,451.51,479.93,249.97,304.53,640.37,565.04,254,403.26,163.41,94.6,340.47,168.83,381.51,2046.26,1547.95,42.78,1015.47,320.48,2652.21,422.18
Tanggamus,13989.45,433.64,581.32,233.31,144.99,105.32,332.95,645.35,563.63,186.82,281.31,516.21,522.39,194.1,207.75,291.29,153.62,254.85,253.08,610.52,2006.37,1401.95,23.03,1053.56,133.98,2709.08,148.99
Lampung Selatan,15044.51,502.65,585.55,128.27,185.69,245.09,152.81,492.57,439.74,205.31,444.31,467.38,652.56,181.57,137.52,614.81,470.54,226.23,364.23,724.63,2136.84,1485.45,18.61,1482.7,144.1,2420.3,135.04
Lampung Timur,13818.71,438.2,557.78,130.63,105.3,105.81,231.45,635.63,351.46,162.29,248.38,559.74,682.26,109.69,106.74,483.74,270.1,310.29,379.81,368.22,2256.44,1493.36,3.71,905.2,258.96,2550.1,113.41
Lampung Tengah,15332.63,471.29,587.01,158.42,211.05,97.05,240.11,675.79,287.62,188.75,305.58,615.99,806,134.79,159.82,586.42,219.97,337,502.08,246.55,2317.73,1549.71,4.9,1202.15,198.92,3004.49,223.46
Lampung Utara,13564.47,473.36,561.51,169.32,109.27,93.69,112.31,400.25,478.82,211.43,394.41,484.24,768.24,126.31,148.31,360.41,284.48,189.73,221.99,424.81,1976.19,1512.94,7.75,1586.83,172.27,2152.96,142.64
Way Kanan,16599.67,636.53,646.02,286.6,173.29,129.84,229.85,728.42,633.87,223.72,301.2,796.93,877.18,112.7,153.45,316.95,132.88,430.7,454.41,954.38,2286.1,1480.11,11.23,1194.18,142.93,3152.25,113.96
Tulangbawang,14157.06,444.32,625.51,184.97,109.32,75.85,120.95,589.27,321.55,154.21,247.07,735.17,778.04,81.41,121.32,311.81,341.31,382.92,432.09,260.41,2401.09,1428.66,5.08,1106.63,195.13,2485.54,217.44
Pesawaran,15566.76,456.31,669.51,140.53,185.06,119.54,160.65,621.47,483.61,173.4,310.17,546.81,722.79,283.59,180.49,566.91,328.01,343.18,419.52,813.87,2101.97,1419.32,3.19,1482.88,410.2,2333.71,290.08
Pringsewu,13009.1,275.77,514.35,120.02,93.63,117.79,183.35,527.23,454.4,174.73,237.06,369.59,583.14,275.78,183.95,437.24,165.07,240.36,399.08,245.78,1901.65,1393.44,47.34,1081.71,269.94,2430.26,286.45
Mesuji,15621.33,456.98,758.77,257.49,128.29,97.65,230.06,815.74,452.44,207.07,248.98,723.6,1011.23,105.37,165.99,383.2,174.28,343.62,459.7,343.93,2271.31,1520.52,6.15,1084.83,198.8,2910.34,264.99
Tulang Bawang Barat,13438.63,358.72,505.32,118.32,75.55,103.63,159.93,522.96,326.87,179.69,270.08,592.23,718.88,126.47,129.62,492.94,133.19,338.85,354.71,175.8,2255.59,1354.79,7.48,1247.7,389.65,2214.79,284.87
Pesisir Barat,15007.85,418.84,810.33,294.81,75.28,85.83,426.24,664.83,704.17,118.83,188.21,465.05,882.02,205.03,104.12,232.6,108.66,180.54,231.1,286.62,2311.91,1331,43.58,2093.92,148.6,2247.77,347.97
Kota Bandar Lampung,15341.11,590.96,573.33,136.47,306.61,325.94,170.18,354.66,595.56,285.56,487.53,144.1,509.61,352.76,215.9,795,603.3,71.78,110.64,367.55,2016.4,1501.69,165.5,2183.86,279.62,1801.07,395.53
Kota Metro,13487.74,500.29,635.96,72.27,248.83,133.1,159.9,537.83,332.52,228.49,356.27,310.13,578.1,245.76,219.26,722.97,395.54,126.77,224.11,116.95,1814.97,1389.67,72.64,1867.84,217.11,1634.14,346.33
Bangka,18457.66,1270.05,955.71,165.64,353.95,833.86,191.78,662.46,293.5,596.4,721.97,611.33,760.7,294.8,146.86,91.04,118.04,186.86,565.19,35.27,3023.08,1437,26.45,2330.2,145.68,2463.19,176.63
Belitung,15915.24,714.32,884.13,106.22,243.76,943.46,112.3,276.74,167.52,242.14,383.53,176.63,516.35,360.03,89.37,587.39,468.14,74.9,76.85,-,2667.14,950.85,74.67,2452.95,199.47,2857.6,288.79
Bangka Barat,16550.99,1143.57,663.64,241.72,443.68,725.08,136.08,422.59,280.54,462.29,652.46,448.38,691.41,388.24,118.38,124.42,149.2,155.22,332.23,26.17,2758.48,1166.99,33.89,2185.68,69.96,2602.03,128.63
Bangka Tengah,18750,1006.56,916,139.96,201.54,668.64,108.36,475.5,153.86,365.28,542.97,541.99,487.79,321.69,93.72,32.29,153.3,241.35,454.73,20.34,3750.89,1325.63,75.39,2226.62,82.74,3989.54,373.32
Bangka Selatan,16708.21,698.2,826.53,310.59,97.05,356.78,49.47,568.77,228.5,198.47,750.62,510.41,652.79,153.3,101.62,38.7,44.13,140.74,268.39,13.53,2858.94,981.01,22.51,2103.81,68.52,4433.94,230.88
Belitung Timur,17944.14,535.34,838.85,77.82,392.52,1103.05,57.39,302.84,45.22,397.33,363.06,228.7,394.08,392.42,62.71,160.27,169.48,94.18,57.55,-,3481.97,1346.03,14.66,3179.54,42.95,3759.6,446.59
Kota Pangkal Pinang,18424.04,1244.01,1034.53,218.38,413.26,887.17,275.42,525.62,344.07,801.38,667.46,304.98,539.82,410.64,148.23,124.86,201.89,128.39,347.72,44.87,2842.17,1333.54,101.18,2344.87,243.08,2678.53,217.99
Karimun,18105.47,1196.61,910.42,316.51,301.79,742.95,220.41,478.95,374.97,608.37,343.82,384.27,440.67,724.87,177.92,85.75,138.05,157.39,78.65,357.39,2169.2,1436.09,117.66,3062.13,486.07,2185.5,609.04
Bintan,15540.61,1083.41,877.63,249.62,216.15,440.72,159.66,548.59,341.11,438.56,254.62,267.85,478.56,347.64,55.27,237.21,121.56,114.95,141.44,89.99,1808.71,1400.12,102.25,2575.16,609.4,2353.11,227.33
Natuna,16605.12,880.32,1106.58,197.17,403.05,701.55,175.06,361.41,157.42,401.56,703.7,318.89,359.18,235.74,164.45,106.24,36.55,156.64,140.58,121.36,2464.35,1681.36,47.36,1469.58,337.54,3476.69,400.77
Lingga,12460.64,895.36,803.12,197.57,153.17,464.55,57.18,348.25,70.56,150.64,550.46,238.52,440.86,473.97,63.35,54.64,64.58,23.51,99.21,59.88,1895.33,1363.23,80.25,1097.13,194.6,2300.59,320.09
Kepulauan Anambas,19066.05,1067.43,1311.86,210.5,427.04,733.95,62.62,248.13,129.62,301.24,587.21,414.41,277.56,365.2,52.2,25.98,23.92,84.91,145.95,55.78,2021.19,1405.71,101.46,2763.43,815.43,5128.21,305.1
Kota Batam,19066.81,1252.15,1074.71,342.49,436.71,475.98,355.36,423.91,865.1,888.65,381.36,271.97,622.75,367.91,248.21,261.15,97.39,116.87,81.56,359.43,1937.07,1095.51,144.12,3859.55,454.27,2033.66,618.98
Kota Tanjung Pinang,17500.37,1151.02,851.06,273.08,308.25,555.1,325.61,376.39,371.36,709.15,300.13,275.37,331.03,365.11,185.18,224.34,244.79,124.76,116.34,133.64,1899.93,1267.26,216.32,3598.52,660.48,2173.78,462.37
Kep. Seribu,16064.76,572.99,1029.75,50.44,182.91,268.67,26.17,80.26,393.79,54.3,353.09,9.78,234.48,144.66,167.27,1250.93,940.26,-,0.95,244.83,2525.08,903.78,16.94,3247.79,170.1,3141.38,54.16
Kota Jakarta Selatan,18057.76,921.65,718.8,135.78,432.12,316.47,296.38,406.89,453.68,425.99,299.35,106.62,300.68,297.41,342.96,1815.55,931.52,16.97,6.13,179.77,2591.83,1355.32,356.34,2746.24,272.97,2068.68,261.66
Kota Jakarta Timur,17234.17,869.4,622.15,171.09,512.06,355.25,403.54,432.28,629.74,503.9,361.77,127.99,340.3,310.39,333.85,1221.63,868.33,57.93,8.21,212.67,2193.24,1495.8,300.91,2603.14,281.89,1798.54,218.19
Kota Jakarta Pusat,15398.92,984.26,549.68,129.69,498.03,229.58,270.11,254.09,349.37,421.61,176.44,76.97,208.08,260.94,223.66,1441.76,734.25,31.43,3.66,112.33,1940.93,1394.25,254.32,2582.16,415.29,1648.09,207.95
Kota Jakarta Barat,16222,882.02,728.54,114.67,502.61,292.55,364.57,418.05,589.41,399.14,299.21,34.47,271.23,293.85,284.98,1319.91,834.99,55.55,20.98,371.39,1957.5,1189.91,375.92,2123.75,238.5,1854.23,404.06
Kota Jakarta Utara,19118.31,840.01,718.16,140.02,591.5,366.81,297.54,320.41,698.19,552,334.82,82.57,293.59,363.7,383.14,1398.13,882.76,76.51,29.13,193.81,2284.42,1764.49,350.32,3008.77,392.2,2541.9,213.4
Bogor,11299.48,445.22,481.01,113.07,354.93,162.65,140.81,186.3,403.34,173.01,354.11,107.57,120.35,233.33,131.33,837.8,638.36,33.06,19.16,421.62,1623.97,943.4,52.06,1637.79,106.45,1495.43,83.34
Sukabumi,10735.77,499.07,569.11,206.34,203.34,224.34,260.81,338.35,476.7,291.13,536.34,248.43,198.83,234.48,212.26,848.43,443.93,21.3,20.66,313.56,1381.71,894.46,27.24,776.71,66.84,1284.37,157.04
Cianjur,9143.05,283.2,439.26,419.56,175.55,144.53,314.21,210.61,479,297.89,414.31,194.34,183.5,182.44,256.02,453.03,225.26,11.22,6.43,444.32,1295.92,806.16,18.78,241.4,102.45,1255.68,288
Bandung,8673.2,358.16,551.27,350.46,201.74,193.78,255.91,76.53,353.2,417.36,260.44,55.38,124.76,203.54,200.93,630.89,226.38,17.05,4.95,449.34,1136.2,779.49,88.98,310.89,139.61,1174.8,111.17
Garut,8475.69,332.47,569.79,512.29,219.54,122.43,202.75,88.01,271.24,341.6,235.4,161.06,171.5,123.61,158.84,495.02,138.35,22.83,4.7,335.86,1251.25,826.44,30.89,214.15,73.31,1348.53,223.82
Tasikmalaya,7963.68,370.29,545.57,260.01,124.8,79.25,177.9,148.85,282.8,389.33,265.98,272.28,112.28,102.58,136.73,503.21,83.85,13.91,11.66,288.78,1322.63,736.76,19.48,299.58,89.81,1236.96,88.39
Ciamis,10657.79,529.68,642.73,259.76,141.09,75.19,249.16,309.25,416.5,471.68,466.38,410.92,261.72,175.81,267.3,801.21,226.64,27.24,54.94,239.54,1424.27,814.52,12.14,479.34,234.69,1370.64,295.45
Kuningan,9979.44,569.56,529.1,197.11,219.68,191.09,213.96,208.65,496.46,335.54,298.1,151.67,210.83,254.33,247.24,619.07,489.86,40.07,18.83,184.96,1205.51,836.17,33.59,861.64,171.52,1113.01,281.89
Cirebon,9235.17,299.11,481.11,105.77,130.01,126.95,67.44,227.05,369.85,256.89,289.19,44.89,238.49,169.14,132.99,698.3,670.55,15.3,20.53,108.95,1393.96,922.42,36.06,1055.3,221.88,1076.78,76.28
Majalengka,8753.97,352.52,521.24,272.79,162.85,104.27,171.63,200.74,367.35,378.09,446.28,125.01,234.39,221.8,241.51,434.09,270.37,17.02,10.3,337.7,1190.43,839.77,26.07,568.76,85.97,1045.06,127.98
Sumedang,10302.15,287.1,606.75,288.57,273.28,151.86,198.57,168.59,410.33,365.22,421.1,164.54,187.88,200.25,279.16,935.73,313.24,5.79,6.47,725.47,1348.78,919.24,64.96,391.06,106.94,1233.48,247.79
Indramayu,13051.65,380.33,740.1,325.77,152.24,368.42,66.25,523.92,585.62,268.52,570.11,154.88,268.73,247.53,206.42,946.32,1220.2,34.07,47.82,162.22,1603.32,1083.68,47.76,983.27,353.76,1593.61,116.8
Subang,10788.98,468.96,623.76,115.42,177.2,112.8,69.71,368.43,314.85,248.28,557.27,111.93,187.7,173.33,141.4,940.79,693.07,22.67,40.06,287.5,1614.81,964.93,47.91,775.83,174.61,1460.04,95.72
Purwakarta,12635.15,420.11,564.59,296.04,256.86,209.6,161.16,317.19,461.97,459,584.77,187.19,228.85,250.51,275.84,843.91,506.91,10.32,25.85,811.52,1720.6,1022.02,67.15,986.02,216.18,1516.66,234.33
Karawang,11669.47,608.65,631.39,77.59,246.28,153.61,74.36,327.13,309.96,236.01,486.66,80.66,240.22,218.73,163.81,778.21,754.21,27.51,33.84,715.92,1525.45,738.38,79.31,1321.33,224.8,1551.43,64.05
Bekasi,15764.02,704.37,646.48,117.55,425.29,274.97,214.72,386.37,506.3,298.65,421.64,50.48,298.54,271.3,265.14,1004.99,985.53,30.84,45.94,735.42,2327.53,1255.48,113.81,2207.68,181.68,1860.98,132.32
Bandung Barat,9443.07,327.54,558.37,353.55,300.96,174.1,373.89,127.35,374.56,447.81,303.97,148.04,131.9,241.34,288.36,659.36,284.68,11.68,16.36,508.42,1238.09,869.59,68.29,232.4,105.5,1231.82,65.13
Pangandaran,13856.77,606.97,842.92,275.26,114.25,94.71,256.04,574.99,476.65,442.75,754.42,512.44,501.42,162.73,317.5,749.12,269.53,52.46,129,327.09,1977.04,902.09,90.21,405.19,294.75,2214.14,513.09
Kota Bogor,14852.07,688.57,674.79,140.58,485.64,235.51,276.86,252.38,458.11,356.35,367.66,51.37,188.62,316.03,283.13,1259.01,804.29,17.47,50.19,244.83,1963.66,1327.52,203.77,1806.56,182.52,1920.47,296.19
Kota Sukabumi,11790.02,438.28,558.43,237.06,246.91,227.75,247.54,105.94,572.64,419.75,470.91,70.08,136.49,241.12,265.31,924.13,755.62,13.71,3.85,324.95,1616.71,1054.48,122.13,923.97,168.41,1221.33,422.54
Kota Bandung,12993.65,568.63,781.96,393.42,298.28,328.21,439.79,142.53,396.1,752.16,220.94,43.88,224.86,345.36,371.09,894.34,482.21,76.48,10.76,294.56,1665.34,1219.84,348.03,930.72,237.09,1220.53,306.53
Kota Cirebon,12072.05,431.94,532.14,180.58,320.29,200.72,232.87,180.52,323.07,468.89,283.38,21.11,223.26,240.1,258.98,1024.12,765.12,31.87,4.21,75.57,1563.41,1276.73,249.33,1343.2,374.26,1276.16,190.23
Kota Bekasi,18379.99,840.3,651.6,149,564.33,288.47,414.51,410.99,543.59,583.59,355.24,83.54,312.59,289.52,273.9,1367.33,1011.52,46.21,22.58,418.02,2604.77,1775.89,389.48,2602.65,292.14,1834.7,253.55
Kota Depok,18120.77,848.66,743.03,182.52,594.6,296.12,337.71,421.56,520.52,459.13,440.69,118.63,330.45,409.31,315.07,1335.53,938.51,26.83,8.64,268.24,2491.98,1528.87,351.05,2732.55,218.77,1989.28,212.52
Kota Cimahi,13313.97,614.61,736.8,355.17,319.13,355.39,381.99,200.16,410.93,561.31,240.5,63.21,183.89,351.94,375.56,866.73,405.49,54.03,15.9,425.63,1615.05,1284.84,311.32,1052.07,203.82,1442.48,486
Kota Tasikmalaya,9802.76,542.05,606.32,242.72,188.44,114,328.5,137.06,417.33,516.12,362.1,87.8,118.87,227.7,271.67,720.67,338.82,21.79,7.83,313.15,1153.41,796.07,203.67,644.94,338.55,830.91,272.26
Kota Banjar,11586.38,483.62,674.42,171.22,221.92,73.13,170.56,458.31,421.01,384.44,500.21,282.96,376.36,169.74,329.86,866.47,353.34,51.74,163.09,155.02,1786.76,881.25,29.98,461.09,393.77,1512.75,213.36
Cilacap,12589.39,294.26,731.34,150.61,102.86,141.9,253.58,678.64,212.33,237.63,273.01,359.57,506.82,128.07,401.04,658.61,217.81,122.64,150.76,128.44,2154.62,1225.47,22.39,575.8,231.42,2168.18,461.59
Banyumas,13517.88,269.36,820.7,156.38,245.71,280.34,510.95,656.04,188.95,278.82,198.89,381.37,513.51,244.29,338.11,787.78,160.2,220.7,324.17,95.7,1857.19,1333.49,58.42,1006.3,265.2,1831,494.29
Purbalingga,11708.92,235.39,552.64,176.04,304.75,189.11,405.03,529.59,159.12,215.94,133.04,491.22,366.8,120.76,282.52,481.67,74.74,98.55,174.98,126.42,2066.68,1281.59,56.27,1038.2,362.69,1416.49,368.68
Banjarnegara,10618.29,331.54,337.18,386.35,342.78,241.14,459.85,361.98,132.89,305.37,160.06,546.21,223.15,71.63,191.42,477.64,86.71,40.6,63.05,85.87,1669.01,1284.21,30.41,505.59,197.79,1521.46,564.41
Kebumen,12070.55,379.5,567.99,158.62,228.03,146.78,344.7,521.36,329.22,283.01,242.47,392.13,375.42,125.45,213.05,669.97,117.2,122.89,159.61,53.45,1925.09,1248.03,14.58,662.83,185.25,1968.74,635.19
Purworejo,11377.61,378.48,318.59,307.41,175.67,164.79,212.91,501.03,204.24,269.41,124.47,425.75,426.52,89.62,210.1,753.24,220.09,90.24,189.51,10.28,2018.81,1477.18,11.79,816.16,77.43,1610.94,292.97
Wonosobo,10434.62,295.46,186.58,508.26,311.75,395.23,435.75,258.96,191.54,329.41,204.15,379.5,235.44,83.98,215.6,211.43,14.73,29.61,39.11,26.42,1526.21,1357.26,38.63,719.97,413.35,1465.29,561
Magelang,10550.53,242.95,102.23,543.14,281.6,324.65,442.83,400.88,190.71,263.67,82.92,174.9,397.34,108.42,239.78,334.44,39.43,70.92,84.84,-,1865.68,1431.85,4.49,731.37,170.01,1744.93,276.55
Boyolali,10081.61,426.14,256.94,200.91,200.41,268.9,187.67,345.96,222.97,235.45,61.26,294.69,286.54,110.07,124.31,743.39,289.07,52.53,142.02,5.03,1616.58,1380.58,12.24,711.91,123.97,1553.38,228.7
Klaten,10961.41,429.39,335.73,256.93,298.63,298.16,330.24,333.71,254,424.76,103.83,137.78,328.73,159.49,116.59,707.89,257.74,78.73,179.74,5.54,1751.08,1588.04,45.84,875.46,136.46,1339.6,187.33
Sukoharjo,11771.37,491.63,367.9,159.23,277.34,200.6,241.14,486.01,314.84,469.44,96.76,156.83,299.16,214.72,140.84,800.66,575.91,71.71,57.89,18.02,1594.69,1426.14,113.89,1123.92,374.79,1595.15,102.18
Wonogiri,13477.22,510.3,299.97,193.95,182.46,248.87,496.36,536.35,196.95,317.53,155.35,216.27,506.64,208.59,204.39,831.97,140.86,54.85,206.62,12.71,2246.82,1816.33,19.74,701.25,592.11,2313.04,266.95
Karanganyar,12068.25,502.96,319.46,273.04,212.1,271.38,308.15,447.35,231.15,391.45,107.88,257.03,352.84,192.24,215.91,850.64,438.75,118.89,88.23,6.56,1667.49,1634.52,110.16,976.87,353.28,1626.4,113.51
Sragen,13986.24,674.52,465.36,213.72,221.92,269.17,289.86,563.44,421.6,289.8,106.94,389.86,586.18,163.72,103.39,739.9,513.31,139.98,231.85,25.77,2160.99,1848.72,39.08,933.93,333.5,2049.25,210.46
Grobogan,11553.25,674.85,342.67,157.79,84.55,172.72,72.12,555.7,315.47,227.5,168.1,388.78,530.19,150.12,69.72,705.72,359.94,61.44,95.21,43.11,2070.24,1352.08,33.86,870.4,187.48,1620.93,242.58
Blora,10855.7,439.04,294.64,51.36,67.82,109.38,57.81,439.71,437.9,120.3,233.11,265.52,319.97,141.66,123,485.47,95.81,65.09,124.91,10.71,2302.46,1117.44,25.26,1162.95,233.38,1759.04,371.98
Rembang,11323.83,427.57,409.99,50.7,30.44,131.74,79.73,611.11,547.74,153.42,250.39,221.55,331.27,172.69,95.56,676.91,184.6,98.54,217.99,-,2237.39,1103.16,13.88,1325.07,256.41,1507.88,188.09
Pati,12997.94,501.94,571.69,211.2,52.82,170.23,158.3,535.43,293.21,237.94,284.58,307.41,419.41,344.81,231.82,524.6,309.85,145.56,223.19,44.55,2379.6,1335.71,58.03,1733.21,408.79,1324.93,189.13
Kudus,10077.11,258.13,392.57,234.31,63.86,268.31,213.4,320.09,270.23,246.35,238.88,79.66,344.36,168.06,168.41,555.59,426.54,49.1,41.2,6.18,1987.3,1370.37,36.14,1131.28,107.57,953.62,145.61
Jepara,9412.25,253.29,447.38,166.26,45.43,120.53,81.12,435.82,237.75,180.4,219.17,291.69,292.92,81.12,83.25,448.29,397.43,82.27,129.91,104.9,1958.51,1205.26,13.85,856.61,244.85,891.55,142.72
Demak,11052.69,758.47,446.69,199.18,95.67,136.93,144.45,353.48,220.6,194.99,195.19,210.87,546.03,76.63,114.51,747.45,202.13,33.34,20.89,11.25,1820.3,1354.06,43.38,1515.04,384.44,1058.26,168.46
Semarang,13607.07,508.52,252.18,497.27,280.76,608.83,419.99,501.17,314.64,369.48,141.7,287.59,519.27,136.69,279.7,701.49,253.87,22.44,45.05,8.32,2245.41,1843.82,85.48,954.52,251.76,1814.63,262.48
Temanggung,11460.56,324.21,133.77,570.24,201.46,487.67,467.67,458.35,150.21,263.54,114.32,283.3,364.54,118.89,243.91,319.12,29.42,58.66,42.55,50.68,1687.53,1404.99,22.2,1078.36,481.27,1818.68,285.02
Kendal,11815.03,491.85,284.38,328.09,209.18,323.57,248.91,463.09,267.8,330.42,289.79,268.97,541.03,83.54,130.49,867.75,241.9,85.59,76.4,8.42,1846.3,1452.94,48.85,1022.36,227.38,1437.02,238.99
Batang,10697.19,319.1,291.92,243.53,86.92,402.41,153,294.36,164.47,239.25,163.67,281.15,343.69,91.49,90.82,933.01,319.21,172.03,36.44,20.98,1954.18,1370.57,14.88,966.96,310.89,1199,233.25
Pekalongan,10877.4,308.03,403.46,332.5,125.66,140.22,132.08,327.43,368.3,228.19,243.65,278.52,294.31,156.45,100.97,872.17,350.81,98.01,33.52,73.17,1849.61,1240.56,25.75,981.53,313.57,1385.94,212.99
Pemalang,11474.8,305.75,448.43,184.8,301.91,235.92,152.11,403.62,345.63,192.05,348.27,512.19,347.47,203.72,186.2,694.67,376.71,53.4,78.42,211.34,1878.85,1136.52,22.01,934.82,208.69,1480.93,230.39
Tegal,8958.45,346.24,372.25,146.76,132.2,174.03,71.14,258.2,231.86,150.07,292.06,91.46,246.78,155.52,110.37,598.48,432.1,15.67,49.27,48.35,1438.16,840.91,22.48,1288.22,214.84,1113.23,117.81
Brebes,10080.42,303.32,489.16,172.77,79.24,162.99,172.52,323.85,222.96,133.25,359.89,141.95,364.75,153.19,117.3,808.27,583.41,35.21,29.16,98.56,1646.65,1060.77,26.75,874.85,202.97,1424.37,92.29
Kota Magelang,12945.51,602.57,406.78,589.46,350.18,458.24,442.77,526.84,282.63,578.61,125.92,36.58,325.31,140.06,238.63,635.95,263.18,59.63,65.35,141.71,1693.15,1647.36,133.97,1206.04,331.23,1410.46,252.89
Kota Surakarta,11971.4,491.38,502.93,197.04,385.18,433.79,239.23,375.26,222.24,330.98,101.31,61.09,243.27,191.01,139.42,1136.29,749.97,99.78,42.19,61.3,1590.79,1493.14,176.29,893.56,291.25,1407,115.71
Kota Salatiga,12620.99,542.81,312.88,283.23,316.59,646.57,341.4,442.11,317.92,464.71,158.94,148.36,363.03,188.02,231.06,711.97,319.2,76.41,38.17,2.44,1871.65,1680.14,228.88,851.67,98.06,1246.3,738.46
Kota Semarang,13316.05,794.63,573.34,228.68,343.89,323.34,352.52,480.74,235.74,409.36,181.78,94.36,306.39,192.13,157.34,1068.09,725.19,93.1,46.85,3.91,1889.7,1634.85,108.56,1469.89,212.59,1090.3,298.77
Kota Pekalongan,9615.51,248.3,360.72,142.01,94.9,92.68,67.49,157.18,297.35,245.49,122.26,69.53,259.99,104.93,115.74,1097.48,604.78,109.3,7.93,-,1712.51,1205.98,32.03,1234.63,188.63,887.32,156.33
Kota Tegal,10733.57,377.79,395.74,67.67,96.02,174.85,69.72,197.54,244.94,180,188.5,36.89,239.21,146.99,126.45,889.88,857.3,36.67,10.3,30.54,1604.75,1129.89,101.18,1982.56,186.82,1323.95,37.38
Kulon Progo,10691.35,421.4,276.06,119.11,220.83,248.41,367.83,511.88,222.18,232.48,104.55,394.68,423.37,120.8,234.62,912.63,186.04,76.45,267.96,0.79,1829.01,1297.88,60.32,715.35,159.38,856.27,431.08
Bantul,12214.38,386.09,336.32,236.73,247.37,279.57,276.7,452.54,341.75,399.81,145.02,175.92,537.01,160.52,236.95,903.28,222.46,109.46,159.41,3.71,1991.79,1740.56,71.66,721.62,236.01,1317.38,524.75
Gunung Kidul,12329.61,490.1,276.85,135.74,163.72,214.11,394.42,580.35,121.53,163.4,117.83,398.58,555.25,113.32,236.08,762.77,99.57,77.29,390.82,5.11,1940.02,1400.84,23.02,515.3,424.93,2035.33,693.31
Sleman,15078.96,542.83,478.34,348.26,482.29,447.11,387.2,581.53,358.7,520.1,257.83,161.42,591.05,226.89,230.97,846.08,361.74,121.4,211.89,41.11,2254.2,1918.85,171.06,1134.96,312.61,1640.77,449.78
Kota Yogyakarta,10853.49,486.22,364.81,335.53,296.64,374.14,263.28,333.47,285.74,584.54,115.74,71.95,393.47,179.93,183.16,617.94,227.33,73.06,37.14,19.91,1453.43,1364.68,130.51,929.5,273.18,1040.13,418.06
